id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,text,Volume
3675,KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,341,,United States,US,Tennessee,US-TN,TN,Memphis,1,KMEM,MEM,MEM,,https://en.wikipedia.org/wiki/Memphis_International_Airport,,1014475,2008-06-13T14:30:04+00:00,Memphis International Airport,4413366
3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809,,United States,US,Texas,US-TX,TX,San Antonio,1,KSAT,SAT,SAT,https://www.sanantonio.gov/aviation,https://en.wikipedia.org/wiki/San_Antonio_International_Airport,,1475,2020-04-19T09:52:41+00:00,San Antonio International Airport,4170705
3668,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,1026,,United States,US,Missouri,US-MO,MO,Kansas City,1,KMCI,MCI,MCI,http://www.flykci.com/,https://en.wikipedia.org/wiki/Kansas_City_International_Airport,,1015075,2016-05-31T09:33:29+00:00,Kansas City International Airport,4706407
3588,KHOU,large_airport,William P Hobby Airport,29.64539909,-95.27890015,46,,United States,US,Texas,US-TX,TX,Houston,1,KHOU,HOU,HOU,http://www.fly2houston.com/hobbyHome,https://en.wikipedia.org/wiki/William_P._Hobby_Airport,QHO,1011575,2010-01-23T11:27:52+00:00,William P Hobby Airport,4170705
3894,KSNA,large_airport,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,56,,United States,US,California,US-CA,CA,Santa Ana,1,KSNA,SNA,SNA,http://www.ocair.com/,https://en.wikipedia.org/wiki/John_Wayne_Airport,"Disney, Disneyland, Orange County",51150,2010-01-26T11:26:00+00:00,John Wayne Airport-Orange County Airport,4413366
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791,,United States,US,Ohio,US-OH,OH,Cleveland,1,KCLE,CLE,CLE,http://www.clevelandairport.com/,https://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport,,1015875,2010-10-22T20:04:02+00:00,Cleveland Hopkins International Airport,0
3479,KDAL,large_airport,Dallas Love Field,32.847099,-96.851799,487,,United States,US,Texas,US-TX,TX,Dallas,1,KDAL,DAL,DAL,http://www.dallas-lovefield.com/,https://en.wikipedia.org/wiki/Dallas_Love_Field,QDF,1675,2017-06-18T20:36:36+00:00,Dallas Love Field,0
3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,,United States,US,Indiana,US-IN,IN,Indianapolis,1,KIND,IND,IND,http://www.indianapolisairport.com/,https://en.wikipedia.org/wiki/Indianapolis_International_Airport,,52075,2016-07-08T18:41:42+00:00,Indianapolis International Airport,4413366
16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,,United States,US,New Mexico,US-NM,NM,Albuquerque,1,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,,450,2018-09-15T18:43:33+00:00,Albuquerque International Sunport,0
3690,KMKE,large_airport,General Mitchell International Airport,42.94720078,-87.89659882,723,,United States,US,Wisconsin,US-WI,WI,Milwaukee,1,KMKE,MKE,MKE,,https://en.wikipedia.org/wiki/General_Mitchell_International_Airport,,1575,2008-06-13T14:30:04+00:00,General Mitchell International Airport,4413366
